response,context,context/0,context/1,context/2,context/3,context/4,context/5
Lol got extra questions,Soon I think Are u on ur way,You experience happiness when you discover a flame of curiosity andkindle it into a fire of enthusiasm,Hahaha so suay ah But when you win 4v5 it s quite shiok,Haha why nobody ah,Thanks have fun man,No I have a cold are yoou,Okay I ll probably be there at
I doing tut now so see u tmr lah Anyway tmr is our 2nd mth together Ok lah sleep early n gd nite,In office lor ppl ask for prices n stock U Having lunch wif sister,Huh so lonely ah I think i not eating lunch lor,Nothing to eat n also no time to go out buy lor Poor thing rite,ll pai seh lor Eat less den my tummy will not be dat big,Precisely i must pressure u by making myself slimmer so u will be more cautious Anyway i scare later cook too much den i cannot finish,Wat u doing Now a bit free already,U going to wait until U got nothing to do
lk tt lor Okie hope i wont get lost Cya tmr,Hmmm Okie lor Den meet wat time leh,Wah Tmr muz reach sch oredi Haiz So i meet u at lk tt k,Okie lor Cya at Nitez,Hmmm I thk lor,Xin Wat time do u wana go Ard u wana come my hse there den can give u a lift,Oh my fren said go earlier cos there will b a long queue,s in e matric fair
Not going to town i think shld hv not enough time,Ok i coming now,Think tonite not many show We watch tom Den tonite we go elsewhere lor,Reach ur house ard k,May be a bit late,ll do it for u,What time are you ready,Where to pick you what time
how is your results,good morning honey i woke up already where r u,If the walls could talk oh they would say want you more They would say hey never felt like this before and that you will always be the one for me,quicktime 5 out liao,wat u doin now,Got news say Saddam last time film in porn movie Wah u got read the news,smth is wrong with the fone,the fone has been disassembled why dun u try again later
Yes physics pls I can t do chem or bio lol,Oh wat topic u doing I dun wanna do with jens siaz zzz,Lols I mayb doing arp with jens sia U doing with who,I went back sch 1st lols U won anything,Emo If she too often u aggro her agn,Lol How jio U won anything,Wah she become same agn,Oh lame Dun Emo over such things la
ll tell them to meet at at paragon food cellar,Den tonite u got to work longer lor,Den u go there find urself lor Basement lah below e extension,U ask ghenglai and yongzhong whether they want to come or not lor,Keep working hard man,this sounds interesting D,m on the way,Yo Zhenyi u sound pessimistic I dun tink things shld get any worse ji xu jia you
Yay thanks Mine is,Dun have haha unless got Olympiad training or chinese,Yay v haha they may not recognise me ah I seldom go there haha,Ohh right the cip thing Uhh sun or Monday Monday more ppl in hostel right,Haha orh but I won t be free to hold meeting this week also omg xthis sat meeting what do you think,Haha yeah they ate steamboat ytd today bbq Hahaha omg so suay Hahawhy she dun believe yeah haha maybe should just tell them right thenit won t be behind their backs liao x Hahaha P,Wahhs my phone lag again Sian Haha yeah looks so nice but cannotuse right I like chicken rice P but there s so much other food I lovealso Just that chicken rice can be found anywhere and easy to eat Dhaha nope my bro bought chicken rice and my grandma bought rice ball haha but your grades are better than his and better than mine too Haiz but then I dunno leh can t help but feel angry bah Haha I dunwant you to be crazy for anyone else too tmr is like so faraway and I think I will go to sch tmr morning we can meet there,OHH RIGHT Ahh can I paste to you the thing he typed later D hahawhat did I tell you I only said they abit fake ah Hahaha remind mebah Hahaha yeah I heard he and Truman went at night right Haha Idun really know what they were doing ah ryan and I chatted on thephone quite awhile hehe x then he was talking to weiren then use comin the morning o o
Hah same here but hw come u didn t choose a topic u like,Ya about that time,Haha oo then hw u going later,Hmm then daddy fetching u,In school also if u free let me know lor maybe can meet for lunch,Girl what u thinking of Break up ur tasks into timeline and shortdeadline Might help btw u in school today,Today s tuition is it DECIMAL or pm,Hey Steffi so I recruit the guys who have replied k
Ah you have a point Lol kk,Oh ok Got la but all after tmr ma,Morn afternoon Go somewhere to san san xin,Hey u free tmr,LOL don t even know if he rmbrs me,Rose If you know it s unhealthy then why you do this so often Lolkk u better go sleep la,Lol look who s talking man Good morning to you too,It s ok I m already at your place Open the door for me leh
Eh tmr will be free to meet up,Ying hi where frm intro pls,Hey I post oredi So anticipate it within there few days lor,Fri and thurs i cant Got tuition We can go for kb on sat Can try power yoga too,Bet had lots of fun though Is the camp organised by your cca,Hah i still dont understand So e wrong acct u apply cant use cgi,Wha then tomw whos going He need us do anything Ok i ask leona now,Evening Hows your day never go out
s super hot won haha but its common la in here b4 i come back will let u know again,I got direct bus from my place,U still in lecture,Ailing wad u doing today Wanna go out,At where Do i noe any of ur law frens,Hmm No la meet u another day then,I haven asked her leh,m home Thanks for sending me back Quick go hm n rest Take care
Eh got zombie game give u It s called killing floor,Still have night cycling I got half a one arm now,Ya no sch but I jus stay hostel Every night go chalet no enoughsleep lose muscle,Orh den okay la My results end of month den get back,Wads the diff between advance and promote,Waa shit sat night got formal Think joining after comp le,Hey can u gimme ur laptop pw,Chalet at east side
Bblp reaching sembawang le,U r missed P,Muuuacks Orhz love u much,Heee Hvhv But today can feel u very sayang me mh Hee,Bblp u treat me so nice today Mmuacks Mummum,Where is my girl,Left ur keys lo,Nvm We wait for u Come safe ok le
saturday u free we start in afternoon about 4pm ok,i can t make it on friday how about sunday,we finished the consultation already we re on the right tra k butwe need to look for some actual contracts to discuss how they may beunfair etc,ok come find u now,hi ppl let s meet com2,yo we meeting at com2 is it,com2 her room where u,hee kiss my yeiyei win more my laogong
Anyway if I remember correctly right I dun think I quarrel withSpencer before hahaha I just got annoyed at him then he get angrywith me Like take turns lol Hahaha no la just a possibility Tochinese garden there that house I used to stay in Hahaha no not yet i m going to bathe first Hahaha I was Later I shall try again Oooshow me next time,Haha yah I didn t see it leh prolly wasn t bugis then Anyway Ididn t get anyth got either of us coz I couldn t decide HEHE sorry,Hahaha slap I wanna know still Sorry late reply hehe I wastrying to upload our pics but my phone fb is lousy cannot set privateto only one person Wasted all my efforts on the descriptions hahaha yay glad you re home Hahaha I might move I told you beforeright Chibi hopstep Hahaha super random,Hahaha orly I want to hug you when Dr teh is ard how Haha okay sounds nice P hahaha you completely dao ed the last part,Haha bye Talking to you tonight I thought Haha actl I only justwanted to hug you longer haha I like it when we chat at night haha Pgo home safe My grandma has got me supper Hahaha And explain,Omg sorry sorry Help me tell weitieng x x okay yeah I rmb that,Yo I m not going night training tonight very lazy P going home bymyself,GAN I FORGOT TONIGHT GOT TRAINING I m outsidenow I dun think I can make it in time SORRY
Oh Ok Gud thank goodness u forgot is everything ok Or now e point system drop liao,s blue not pink,I anything lor doing,Hmmm After my drivin den free lor Y,Im working R ireena,m considering liao mah I duno i not v interested in e show n i dont wan go out on both weekend Sunday we meeting lunch w e rest right,And if wkg waitress or telemkt i tink part timer better get a few if find hrs not enuf one of my odac fren earned quite abit like tt owis go out,Oh Again Wow U lik very guai tis fw wks
Dun meet him alone k,U with da Jie,Eh so how U want to call police,seeya soon Haha U jiayou too U looked less tired than lasttime Take care k,Hihi Pls check ur email the final draft is in the dropbox We llbe submitting the report by DECIMAL after everything s finalised,Hihi Pls check ur email the final draft is in the dropbox We llbe submitting the report by DECIMAL after everything s finalised,Orh Baobao u Kah I noe le I go school bathe Hahha,Dear dear battle low I go charge
Tomw depends on wat time si going to meet us lah If she not so early maybe we meet bugis else meet orchard lor,Hi missed your Call and my mum Has been dropping red wine all over the place what is your adress,My mum helping me buy,when he knows tt i totally detest her i am a very self conscious person,Got mine is kns hall but ppl r nice my hall 10yrs old haven renovated so facilities v lan,i jux need a module as unrestricted electives lor but all e biddin so high,Nope Goin to queensway wana get a pair of addidas shoes,TIP WHAT R U DOING
Ya nvm la the sensei say may be mixed up She will check,But got hand in correctly ours is on the far left Cos the teachersay we don t have,Eh that time u help me hand in the jap work u hand in to which group,Thanks for the notice thur to is alright Its early enough no worries I have tutee telling me less than an hour before theactual timing Get well soon,Ok I reach there slightly later la abt,Haven eat just now but now eat already U wanna go popular whattime If maybe I ll go,Nah not really we will have no such problems if its just us I flareup chiefly because this is like the time where they tell pk to task usto do the jig,I will be able to reach dl at
Hrrm but zhu chuan isn t here it s just miko irl,Yes come on over,Lolwhoops sorry i was etching now almost done with drilling,Lol i think i m a little tired tried to go up a down escalator,Yo dawg i m downstairs,Ok sounds good Time,Eh you wanted me to make another set D anyway i need the roboexp to properly test tmr,Next stop clementi lol Where to find you guys that s more important
Thanks for helping films us guys,t finish whole chicken,sleep in hall u need to wash clothe eat in hall then gotto put up with nasty ppl in hall,mute then u never hearthe sound u also want ah,wah liew wun lah u watch then some guy join in,ya right this is not morally right,wah liew u better go wahc your mouth,like kent ridge ppl told me many ppl apply it but i also got one that time
Haha Ok Sure Hehe Must buy thing for me hor Keke If got go out eat farewell meal with u Keke,No problem Close friends call me hammy Haha just call me whatever you like Good day,Could they run another petition have William Hung back,tsk tsk e of u only hah heee Wait my boss come back ask him qns liao then continue lor he go meeting,m fr perak msia,m nt angry la Dun worry abt it haha a kiss only ah nt enuff leh Gee,can Cos i finish work at tis time,Wat time u be home then
m goin U dun wana go ah,ll mt u all too,m not goin tmr will u still go,Oh ya Forgot to tell u i wont b goin cos yest managed to finish Gee paiseh So Cya at lect later,s present later or give her on her real bdae,Hmmm Thk not la Quite lazy gee,s so late lor,s quite late until K la nvm
s e biddin like e cultures one i haven put any pts,Yup i thought of t also but scare i lazy or cant wake up early,Are u free now,Double click n will b done Can view other modules test paper,BOEZ y no reply frm u can u sms me at,Huh Dun have Nvr open or wat,r exams when start,Thk in e afternoon lor Hiya
U noe of any gd Secondary Maths tutor willing to teach student in AMK area,Are u having dinner outside tmr,t believe i did this,I am here liao see u,Sigh forgot to charge batt again in bus,I am very tired and very sleepy I cal u tonight ok bye take care,Are you free Can u cal my hand fon,Are you wake up If you woke up give me a call ok
didnt go look leh u leh,ya lah but the guard room will ask u come here for what then hwoto tell them oh i am here to eat the porridge ah,take visitor pass loh,the back ground is some building in ntu engin mah,your brother is ntu grad ah,relax mode now hehe,ya i know liao got loophole,now S4 change liao who can vounch for me
Yeah x haha b this is the first time I got children s day presentsince year Haha ooo icic I occasionally will use parents toiletde but not always lah Haha yeah tired le Haha the Pokemon one gonnabe in my bro s room then the rest in mine probably,Haha good Oh forgot to mention there s a common toilet in front ofmy bro s room that s used by the of us and guests Haha yeah myparents use their own I think i m going to sleep early P haha oh nomy dad just went in _ My mum asked me where I wanna put the postersup HAHA,Haha maybe Haha good to hear Ok ok i m waiting for my grandma tocome out,Haha it s instant noodle soup Please eat sth when you go home Hahacool yup tmr onwards ganbarimasu Haha yeah I guess so But Ididn t tell them ah Haha,Omg I have the last packet hahaha I didn t know Thanks for thepresents haha yeah it was very relaxing they didn t say much Hahawhat do you mean I realised we didn t eat,HAHA SAY HI TRAILER OF THE CHANGE UP,DON T KNOW EITHER OH GO WATCH THE TRAILER IT LOOKS FUNNY,Haha why can t say hi I decided not to anyway P
i am on bus coming more stops,u there already wait a while more traffic jam,sorry i will be late,meet u at orchard mrt station control dont be late,oki see u tomorrow,go la hours wont kill,really cannot go long time never meet u already,wat u busy with
pokee u reach home safe dear where u now le,hmm i haven decided yet i go bathe first think later heheh maybe wear the dress on uncle s birthday,ok auntie you wearing formal tmr,hee reach home le then i go bathe O tmr can hug u more more le,reach home safe dear,heeeeeeeee orh sayang ur bum bum n dum dum,heee baobei i just sneezed love u too we work hard together shoo the clouds away hee i had a wonderful day with u,uuuuuuu so yeiyei dear deat see u tmr love love u
Hee Have a wonderful night also my dear Lub u,Dear dear I eat till full full le U also go and eat hor Muacks,Dear dear sayang u Yesterday I really Concussed till abt DECIMAL am Hugsss u tight tight love my yei yei baby,Hee Ok I love u Get home let me know Ennjoy ur rojak and sayhi to pl for me,If u sense any thing wrong stay inside then call daddy or me ok Wego up find u,Daddy fetch me today,Okie will do Enjoy ur show I go do my stuff first and I miss miss u too,Poke my laogong Hee Dear I love u hor Remember to drink some water
juz to make frnd wif u mah if u wan u msg me at,Da place where drink coffee lar Dun haf neva mind,Hey r bored or am i takin up r time,ll b bz quite some time,Daddy at home what time you will be back to fetch me to airport,Hey watching movie alone At orchard,ll tell u when we hav a bare,Hi any1 wan chat please intro girl or boy n how old
Yup They got sell,Wow go buy monopoly deal please XD,Haha I bet simlim have lots,LOL oh well I found back mine ready Haha it s time to get a new one,Wah lol move out of bugis Hahahaha,Haha okay can No problem,Lol shut down your internet,Haha tsk tsk That s sinful lol but happy jiu hao mah
R u girls goin to have lunch b4 going,Ya Same lah Sch price mah Hehe hmm Okies i going her rm now U finish liao msg us lor,Today mango got discount,Hey xin ah So tmr u goin evaluation,Can to intro yourself,Ok i shall not further disturb u,Yar i apply da wrg acct then i noe only when i cum to sch Haven me installing wireless case driver now,me stay at jurong west i oso alone
Orh Take shower and rest abit k Sleep earlier today Dear,Hee Coz u let me play so much Really very fun to play with mybaobei leh And Hug u so comfortable,Yo Rem to come for lab tmr no need bring anything rite,Reached home le Mug mug Laogong u really very wonderful leh Tmr IMuz hug u more,Meet at which part of lot one,Hee But mouth still cannot say haven reach his level yet,Mummy we haven t eat yet But later got free food to eat Hee,Wed 2pm u can make it For consultation with the prof
Candy say u changing it rite so I ll just delete the version I uploaded,K So I delete mine,Ya so I keep if there,Aiya more traffic light I thot u d come out later then I went to bathe,I ask him if got then I just delete the submission lor,Hey junhui the version u submitted in workbin got team number,The version he submitted gt no team number rite,Yeiyei bus just came P
Okay can This comm is for next academic year right,Haha yeah called her She said she needs to stay at home until towait for pearlyn then she join us,Oh serious You have to call hongling and ask her lol,Hah I want kopi,Haha I dont care I will leave my store only at Aircon here so shiok lol,Lol lies Yesterday you also said that,Haha meet you at sim escalator,Wah your mom got cook my share XD
Hmmm Not sure too Have to ask weiyi first,So sorry Can send me again Lost it,Ya She really wana help her fren sell e tics lor Thgt of helpin her buy la U wan den we go together lor,Haha Ok ok we all pon Pink nt goin too,Oh Okie u send me his no lor Den i discuss w him first,Ya Told her liao But anyway e lect is quite empty lor last wk still got lotsa seats Haha everyone pon,m not attendin e stats tut tmr Gee goin to e doc cos of my rottin hand partly lazy oso la,Hey serene I wont b goin e tut tmr Haven do e tut yet was studyin my test lor
Haha okay teach me next time Ooo you re leaving first Bye bye,HAHA WHERE yay okay Heehee I should really learn howto tie it though,AND BRENDAN S FOR THAT MAYER,LOL SAME I DIDN T EVEN SEE CANDICE S POSTERS,Hahahahaha noo you can tie right Tie for me instead D haha I think Iknow where your class is Hmm haha he could ve dropped my bro off atthe zebra crossing Haha sleep now also HAHA,Haha cool I reach sch le sian haha thought can reach earlier in theend my dad go send my bro all the way into the sch damn waste timethen come out got alot of cars liao haha oh wells at least youdidn t sleep all the way Haha oh I leave mine tied hehe did you knowI don t know how to tie a tie,Haha oh good I was super scared you went back to Sowerto when I saidthat HAHA Ooo hmm but you performing won t you be wearing somethingelse LOL omg the time taken for you to decide you could ve probablyjust put on your formal Haha haven t reach yet Yay today about 5mins earlier than normal,Haha ps LOL why formal means late I dun think I ever saw you informal before Haha I will get scolded leh mr ku dun care but leechan lye sure make a big fuss about it x x haha did you know I saidgoodnight Hahahahaha
Haf u found him I feel so stupid da v cam was working,m in da canteen now,Hui xin is in da lib,Call me when u finish then i come n pick u,In sch but neva mind u eat 1st lor,ll b going sch later,Is ur paper today in e morn or aft,Gd luck ur exams
m jeff wanna chat care to intro pls,Hi Lea Can intro,Wun wan la She said they more lenient this time round,m into a pretty tough cos sci r 1st choice,Huh Alone How can Ask ur jiejie lah Or get vcd Haha,Ok I wait u outside toilet Raffles city rite,Ok I c got time a not,Wat la Y u kp sending me wrong msg one U msg who huh
OMG HILDA TAY HAHAHAHA WHAT THE,Ohh haha do you have hostel too,Haha earliest day The rest at least pm,Chemistry Haha icic haha so cheem Never heard of them Hahauhh in mins but I have to take make up test for chinese haha,My cca starts at haha,science and one math haha Wow how does that work haha how manysubjects do you take anyway Today is my shortest day hahaha,then just let me know when it is bah I prefer today,There s chem hons test tmr haha but if end early Idm ah P
You received my messagr,Mr alfred cheang coming later at DECIMAL Please call himimmediately when you arrive Anyway he wants to see what equipment wehave and is willing to teach photography,Yeah DECIMAL pm will be the meeting time but im sorry that Icouldnt make it today,Oh okay Where re you now,Sorry mr alfred I do not have the key currently I will need to waitfor david to arrive,Haha I think I DECIMAL off le,Yup Woah get from my mummy eh Cheaper leh,Lol yup Heng got behind
Hey so is it on rd,Wth father day 3rd Sunday of june,Yea its okay U weren t late yest,Send me ur flight details,Ps I 2moro can t go,Ps I 2moro can t go,Ps bathing Sianz tonight Nth mch to watch,Lols imma eating now Mayb later
Haha i so gan dong leh u save my bday in ur hp lolz thanx a lot,Thanx haha i tink i noe why u got facebook acc liao cos usometimes too bored during IA rite haha,Hey paiseh i broke my toenail dun tink i can run in the morning liao,Ahaha try leh see it break or not lolz,I paid using my debit card first later just return me dollarscash lor or can ask sis to ibank transfer to me oso can now justwait for ica mail,U want she zhiwei to be printed in ur passport,I forget i still need ur ic number to apply the passport can msg meur ic number,Can send me ur passport expiry date and NRIC issue date i try helpu apply passport again
Yeap damn cute Its fine Karyee but she might leave earlier,Its okay its okay The rabbits super cute,His rabbits are so cute Not really ah its like room,Dun need its okay de,Ohh its a condo wow quite nice,Eh really dun need lah if you feel awkward then nvm Dun need comepick me up too,No no its okay really,Dragon boat Haha I dun know timo say can leh hahaha pig is pig
Hi sorry I wont be free this period of time Will the original timingbe okay I can bring it to if u like it to be earlier,I doing my part now more or less I know what to write just need todiscuss with every1 for how complex abdomen make sure all parts rcoherent u want or not Lidat can make jaime come out withsomething lor,He safety wiring now,Yea he haven start doing yet,Not really I got ample info more like need to choose what we wantand link up the parts together,Tml not meeting ah,Where r u ah,Pk tml u free to do eg
LOL I M GOING FOR CLUSTER OUTING TOO BAD,Haha oh tan gim yong is epic hahaha he s sc teacher so came toattend our interviews for the new people then he came in sandalshahaha Wow was it difficult haha no next week,Hahaha no lah P I think I keep my composure better if things are moreserious heehee When are your exams starting,LOL WHAT THE hahaha yeah i m not too worried ah I was studying Hahaha how was biochem,Haha wow good timing I just came back P I think ok ah but I scaredagain make alot of careless mistakes or think that s it s okay coz Ididn t study enough haha x are you coming to sch soon,Uhh oh overslept Oh wells shall just go Jiayou chibi Hahaha x,Yup Going to sleep for another more mins,Haha what the why haven t look at it Haha okay yeah even I won tchoose to do phys x x
Seriously i hope i can earn as much at his age I ll be uncle wongtoo in yrs to come Haha,The lao uncle lah Haha,Wahahahahaha Walao I thought they were confidential sia,Walao g na one so long ago liao leh Haha,Wah She s good lah Can sing and can dance I dl her mini album liao Haha,I think dailymotion com has it I got the link from kpop com haha,Ya I watched the MV too They re so sexyyyyyy Haha,Haha Not back it up ar I know their latest song nia I m so trendy Omg
By a patient zero who infected many others His name is timothy tay,By air patient zero who infected many others His name is timothy tay,He kena infected lol,Not sure sj running nt le He yest went see doc den nvr come sch today,Where u going today,Nah mus have responsible No la can t pangseh Eman,Have to I sign up alr,Haha u going cip
Happy chinese new year,Happy chinese new year D,Happy chinese new year,Happy new year big aunt Okay will do,Haha thanks jinpeng Happy lunar new year too,Hmm okay I reach home le tell you,After your movie you want to play mah,After your movie you want to play mah
Like sj they all la Waa a few days ago still ok Why suddenly breakup,Dunno jus asked u nia 2moro staying over,As in jio ppl go la,Mon volleyball at sentosa,Mon I wanna go sentosa play volleyball sia,Hmm I going nickhole hse if u go,Wth den th not going out,Nop not going Nvr sign up also
I will guide you,Hahaha omg I m too full for dinner actually lol,Hmm don t have leh K I currently at Macs now,Glad to hear that Great dealing with you Take care and have fun Jon,Hmm I ll ask around ba,ya but I passed something to a buyer ma so was here earlier lol,Harow wo tao clementi le ni dao le ke yi call wo,Hey I ve reached Wearing a yellow shirt
r u online already,K REEN I AM HANS,Haha Saw ur fren huimin on e bus,HI DARLIN I FINISH AT DO U 2 PICK ME UP OR MEET ME TEXT BACK ON THIS NUMBER LUV KATE,Helo hw r u all care chat any1,I dun have the results for that qn two Cos we cannot manage to do finish Both of us got the expt done wrongly,Where are you now,FRAN I DECIDED GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT C U 2MRW LOVE JANX P S THIS IS MY DADS FONE NO CREDIT
So when is your driving test,Ok ok just thought u want a lift I may go down earlier too Will call u Need to find a good tailor in far east,Huh Haha That bad ah Which colour was it supposed to be that meant that Blue or pink quite interesting where got this from,M NOT STUDY YET,Hee k cya aor time big hug,Oh Ok lah at orchard mrt,ve to stay at home n wait for da dvd player to come Sad We go on thurs ok,s at bishan mrt rite
Lols nvm 2moro going,Eh 2moro u going Dulan house,Kk I wait at coffeeshop lo,why can t DECIMAL,But I reaching at DECIMAL,Can la jus do lighter,Yest watch horror movie le can t fall asleep only had a little slp,Guailan ar Sianz so tired may I gym a bit only
great its crystal jade at holland village let s meet at DECIMAL alright pls also help to ask other old scouts I have made reservation with a few more to spare,great its crystal jade at holland village let s meet at DECIMAL alright pls also help to ask other old scouts I have made reservation with a few more to spare,she s our rv sch mate doing some insurance related work sorry abt not asking u first,she was from npcc if that jolts any memory,haha she s not plump don t know which class,that s right buffet starts at DECIMAL pm to abt pm,glad u can make it,oh I m not this sat anyway lvl mdm fong has moved to a home at thompson
I bu hao bu hao wo men zou san liao Aiyo,take e seats or else late kena bei ren jia ba zhan le Anyway good that u printed What a relief,Maybe we have print at NUS but need a saved version bring there,SOS U RECEIVED MY SMS OR NOT ZEN ME BAN ARGH,I had printed APPENDIX liao the rest u print ok My WINWORD really btw KOOLWANT EMAIL NOT UNDERLINED,remember add e note without e NOTE soRRY,s e project Done e shares part leh Xing ku ni,Not tt song Anyway today all my friends didnt come Pao qi wo I person come What a day Should buy TOTO
My dear now i m in engin canteen eating,My dear i m going to sleep now May u have a good rest too,My dear add oil ah I will have meeting at I think it will a brief one I miss u very much,Thank you so much for the moon cakes they are very nice,Oh This is sooooo nice I am so thrilled Huge enormous hugs from the super delighted stella Take care too my dear sweet sis,Hey Lizzie will pray for you when i wake up tomorrow May you find strength in the Lord to handle your test yawn Going to bed now Good n ght j,i think she should like it ba i remembered she onced said so when we saw it,we going for jap food at bugis 2nite u wanna join us
I had printed APPENDIX liao the rest u print ok My WINWORD really btw KOOLWANT EMAIL NOT UNDERLINED,remember add e note without e NOTE soRRY,s e project Done e shares part leh Xing ku ni,Not tt song Anyway today all my friends didnt come Pao qi wo I person come What a day Should buy TOTO,THIS SONG AGAIN y,please write ur name on e cover,they cry Finally they left me Will u leave I hope not Really hope so,After I make u smile I will make u angry or cry again I think I shouldnt talk so much next time Anyway u must finish e course ok btw how is e project
Sweet kisses for wifey I go sleep le of dearest,Going to Marsling Can edit photos la Happy face hee,Morning my wonderfully yei yei girl Love love u,Darling im on train le kisses,I guess not sorry,good morning i m sorry i can t make it to the appointment at pm today,hi this wed DECIMAL to 4pm appointment with dr teo,i ll be there
Haha mean mich din join her meh,m gonna drop pretty soon U on e fone again ah,I can send mine u then u jus change lor but think u got do it b4 office hour end,Hee jus called u think u sleep liao Happy burfdae gelek Cya on sat,Erm I nv bring wallet Mac muffin can nt,Dunno how come cannot go online leh tt fuji,Hey free on fri to watch movie or go someplace play mahjong,Haha Ya its been quite hot e past few wk Other than havin great food Wat else did u do there Muz been veri fun
Hahaha omg so epic Okay later tell me Haha I m lazy to type now Istill dun have swype haha P I dun know leh I didn t report thisproblem Haha yea,Haha I also cant I memorise lyrics one Haha I dunno But then forme best is aft exams x,Haha no la mine are chinese haha P yea let s go,Haha have to buy the discs to bring there use de That s why neverjio you all haha I go coz I got the songs I like mah Hahaha go singjapanese songs XD,Nope Last time I went was last year Coz I have a karaoke room in mycondo haha P ooo Omg so awesome I shall jio my year class go xD,Haha sian I just received these smses o o yeah on the way home now Later bring my grandma out haha Haha only songs coz I lazy putin from my com P haha it s alright I finished it handed up le Hahahad a good rest Ooo you really feel so bad about the butterfly thingah What did I do to you,Yes omg I want to go how to get the membership ah,Yoyo weitieng sorry i ll be late Stuck in traffic jam
No wat color Iolist my slippers too,Hi I m still in Singapore,Mr lee I will be going to the art room at today,K give u at cca,Lols I busy now Chionging hmwk How bout 2moro,Okay if I go time If not u help me ask,I know When is flyer,So fast find him If he aggro I impatient how
Oh okay Then we shall watch DECIMAL de bah cineleisure Pleasetell the rest thanks D,Do you think we are able to catch the movie DECIMAL cineleisure,Haha im teaching you leh,Oh ya It s called lol Oh well i shall find others to shop with me,Haha date you out eh,Lol never mind Btw tuesday wednesday you got class,Lol really No guessing,Lol while you at the customs dey
Ah I m sorry for the slow reply I teach amaths as well if you don t mind,Haha I don t postpone one Nobody go eugene and I will still go Uwant another one then go organise,Can la 1st pay must treat people if not bad luck,Oh okay all the best Next time go out you foot the bill already,I thought u graduated already We ll see k,Unlikely As usual just me and eugene if anyone can join then fine if not we ll still go anyway,Any1 interested to go kbox pm this coming thursday Promotion at8sgd per person I ve ask Eugene fang jason ivan and Pao for now Feel free to ask around but I ll like to book soon,Oh yea So its pm
Sayang yeiyei la Kiss u Dear dear got slp ma,Eh Now doing some work I shld go home hor,Dear I just ate lunch u eat le ma,Love u Now gg for consultation Then end le I tell y,Ok love u Hee,Hee I know Tan wh Just gave me,Hee I at lot one when reach yew tee tell me,Aiya Today abit rush I meeting Ben in mins unless we havea quick meal
Rly I nvr lie den u aggro me I jus say the 1st thing in my mind Unvr trusted me,U did it 1st Ditch me at ecp,Oh ya Sry fuck u buddy,Yes physics pls I can t do chem or bio lol,Oh wat topic u doing I dun wanna do with jens siaz zzz,Lols I mayb doing arp with jens sia U doing with who,I went back sch 1st lols U won anything,Emo If she too often u aggro her agn
Haha I don t think i ll mind either one C1 mon But the restshld be fine as well,Yup Taking with one of my friends I ll ask her if she can change towed class,Hey your SSB is which timeslot,Hey today can start to bid using G account Round 2A ends tmr,Pls let me know the preferred timeslot for mno Thanks,Pls let me know the preferred timeslot for mno Thanks,Wah so good Haha Of coz can lah Thanks,Later give u a miss call then u come down Thanks
Yes Went to the bank too,Do you want to have dinner at imm later Can go hosin meet me at 6pm at imm ok,ON THE WAY BACK ALREADY I TREATED MY MUM DINNER AS WELL DID U CALL UR MUM TODAY,IN A PARTY WITH OUT SPONSORSHIP FOR WARNER BROTHER,Are you ready now,There is dou fu hua and you tiao at business,itz reali a test of ur maturity remember we said tt everythg happen a reason believe in it n force urself talk more and think abt other gd things surround urself wif gd music and luffing pple,s late go to sleep cya around
science and one math haha Wow how does that work haha how manysubjects do you take anyway Today is my shortest day hahaha,then just let me know when it is bah I prefer today,There s chem hons test tmr haha but if end early Idm ah P,I have no idea leh when it ends I have break until in themorning too But next day got chem test so prefer not to end too late,I have exchange briefing sorry,And what the you were late is it HAHA,Hahaha but vivien got haha sian I could have got that too,She will wake me up when the need arises Haha oh it ended at I am having physics now hehe
Nope mine has no problem,Nope Dont think got problem,Lol next time buy more ezlink cards and put in your different bags,Oh Think so bah lol,LOL awesome You left it on your sofa or something,Haha okay i tell him that,Hey it s lt b I booked at 6pm but start at please,Chances quite high because they need it But he will have doubts onthe credibility of the company
baobei still syncing dropbox so slow dar wait awhile morr,eh need to buy ticket ah,ok have a good rest,2pm is it ok at yishun,it s alright i ll help u see hmm the ITE courses mostly requireenglish pass tmr we see and discuss,hmm ok so we meet at Starbucks i think there got internet,hmm can meet at north point at 2pm tmr it is at yishun,muacks kiss u many many laogong reach home tell me then wedisscuss plan for tmr k
Yes i ll be there,I can t even bring to school already I ll bring the whole thing with ardupilot on Wednesday,Fuuu my bag tmr is too heavy,Same brand different model And somehow the original rx can bind to other txes perfectly fine zzz,Uhh reciever had problems binding i swapped it out now i need to chiong tutorials tmr afternoon i settle ardupilot,Ok btw reciever some weird shit binding problem use another reciever can liao,My robot was in sch since last last week,Be sure to clean up
Sorry for the late recently was busy,Have a nice weekend BluPig,What r u doing,t say hi Had your bfast Think today started off well Boss coming in late,jap book present card material melon strips tape rec tapes,Had pineapple just now So not hungry Still waiting for my sis while chatting with ivy We are discussing abt jessie,Yes Call you after i check in Ok Enjoying your dinner What are you having,Sure dear Go meet up with your friends I have things to do too
